State,obesity_rate
Mississippi,39.7
West Virginia,39.1
Alabama,39
Louisiana,38.1
Indiana,36.8
Kentucky,36.6
Delaware,36.5
Iowa,36.5
Arkansas,36.4
Oklahoma,36.4
South Carolina,36.2
Texas,35.8
Tennessee,35.6
Ohio,35.5
Kansas,35.3
Michigan,35.2
Georgia,34.3
Missouri,34
Nebraska,34
North Carolina,33.6
South Dakota,33.2
North Dakota,33.1
Illinois,32.4
Wisconsin,32.3
Virginia,32.2
Alaska,31.9
Pennsylvania,31.5
Idaho,31.1
Maine,31
Maryland,31
Arizona,30.9
New Mexico,30.9
Minnesota,30.7
Wyoming,30.7
California,30.3
Rhode Island,30.1
New Hampshire,29.9
Connecticut,29.2
Nevada,28.7
Utah,28.6
Montana,28.5
Florida,28.4
Oregon,28.1
Washington,28
New Jersey,27.7
New York,26.3
Vermont,26.3
Hawaii,24.5
Massachusetts,24.4
District of Columbia,24.3
Colorado,24.2
